Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Mastery Min,Blue Mastery Max,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrate Min,Blue Winrate Max,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Mastery Min,Red Mastery Max,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrate Min,Red Winrate Max,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
4133,1821,8979,24707,5037,8935.4,1821,24707,5037,3.439484232,1.823128493,8217.305193,67524104.64,0.8,0.333333333,0.777777778,0.390243902,0.833333333,0.626937669,0.333333333,0.833333333,0.777777778,-3.108463096,-0.609355296,0.217958677,0.047505985,4841,12191,14428,63617,48050,4841,63617,28625.4,14428,-2.041009564,0.72329269,22974.24867,527816101.8,0.6,0.461538462,0.434782609,0.268292683,0.442307692,0.441384289,0.268292683,0.6,0.442307692,1.914221033,-0.302153597,0.105423217,0.011114055,1
117377,6819,203518,93559,99490,104152.6,6819,203518,99490,1.694610895,0.072553743,62699.53965,3931232272,0.462121212,0.375,0.594936709,0.388888889,0.363636364,0.436916635,0.363636364,0.594936709,0.388888889,1.767413154,1.501120173,0.086157933,0.007423189,2607,39690,54926,9425,5639,2607,54926,22457.4,9425,-1.940295411,0.794289746,20966.22473,439582579.4,0,0.424657534,0.468085106,0,0.176470588,0.213842646,0,0.468085106,0.176470588,-2.929853227,0.227509613,0.200965754,0.040387234,1
185844,9320,26882,5563,577853,161092.4,5563,577853,26882,3.017504965,1.783468398,218878.3802,47907745310,0.522292994,0.8,0.611111111,0.25,0.583333333,0.553347488,0.25,0.8,0.583333333,1.752329798,-0.67467103,0.177796135,0.031611466,80391,657086,61911,514132,29033,29033,657086,268510.6,80391,-2.543620125,0.722895106,263341.0766,69348522630,0.465517241,0.471264368,0.481927711,0.467320261,0.2,0.417205916,0.2,0.481927711,0.467320261,4.946367691,-2.220567727,0.108752075,0.011827014,1
23117,75649,57216,101159,256284,102685,23117,256284,75649,3.233747861,1.692783255,80900.4615,6544884672,0.465116279,0.413793103,0.380952381,0.518518519,0.452054795,0.446087015,0.380952381,0.518518519,0.452054795,-0.173857415,0.224888604,0.046753539,0.002185893,659392,18317,95597,69160,64685,18317,659392,181430.2,69160,4.792614431,2.175390458,240272.6685,57730955205,0.55,0.566666667,0.451612903,0.4375,0.633333333,0.527822581,0.4375,0.633333333,0.55,-1.824953431,0.048293844,0.073619703,0.005419861,0
3685,1198,37405,981,363699,81393.6,981,363699,3685,4.804044712,2.185332381,141822.0595,20113496562,0,0,0.352941176,0,0.461038961,0.162796028,0,0.461038961,0,-2.589276607,0.736850938,0.202292691,0.040922333,6517,27748,686668,96375,492913,6517,686668,262044.2,96375,-2.030600038,0.775633009,276130.7362,76248183489,1,0.5,0.567901235,0.571428571,0.333333333,0.594532628,0.333333333,1,0.567901235,2.775487403,1.33628497,0.220367106,0.048561662,0
350677,65211,1169407,207697,1999,358998.2,1999,1169407,207697,3.412921612,1.807358943,422725.2219,1.78697E+11,0.541666667,0.525423729,0.524609844,0.484848485,0,0.415309745,0,0.541666667,0.524609844,4.834864928,-2.192052454,0.208497239,0.043471099,518712,40062,49715,61297,16072,16072,518712,137171.6,49715,4.881659628,2.201928619,191349.981,36614815235,0.43956044,0,0.646153846,0.428571429,0.391304348,0.381118012,0,0.646153846,0.428571429,2.641141506,-1.166815327,0.210364464,0.044253208,0
45088,71438,25523,118778,82054,68576.2,25523,118778,71438,-0.261375296,0.330097356,31985.41944,1023067057,0.263157895,0.5,0.375,0.2,0.555555556,0.37874269,0.2,0.555555556,0.375,-2.257580099,0.0067268,0.135121372,0.018257785,97282,793623,3344990,68423,47620,47620,3344990,870387.6,97282,3.960646037,1.988495127,1268647.773,1.60947E+12,0.494845361,0.498812352,0.509433962,0.392857143,0.55,0.489189763,0.392857143,0.55,0.498812352,2.950716252,-1.400071869,0.051985125,0.002702453,0
104795,38784,3172,41238,3619,38321.6,3172,104795,38784,1.543077284,1.221476065,37059.94317,1373439387,0.444444444,0.453125,0,0.454545455,0.375,0.34542298,0,0.454545455,0.444444444,4.400300458,-2.087780556,0.175216737,0.030700905,4695,10189,1228,451731,45113,1228,451731,102591.2,10189,4.834978745,2.192832113,175270.462,30719734855,0.5,0.363636364,1,0.502325581,0.5,0.573192389,0.363636364,1,0.5,4.03775377,1.889548888,0.219915811,0.048362964,0
114398,52376,2813,8232,6943,36952.4,2813,114398,8232,1.335506181,1.443856282,42723.83993,1825326499,0.44,0,0.142857143,0.666666667,0.727272727,0.395359307,0,0.727272727,0.44,-2.407282341,-0.274262781,0.284897637,0.081166664,11981,10460,14961,67886,18735,10460,67886,24804.6,14961,4.658081689,2.143469672,21725.35752,471991159.4,0.45,0.375,0.333333333,0.542857143,0.515151515,0.443268398,0.333333333,0.542857143,0.45,-2.235893889,-0.168305898,0.079845736,0.006375342,1
33998,6923,4735,31174,53482,26062.4,4735,53482,31174,-1.404890166,0.223145372,18232.45068,332422257.8,0.439393939,0.3,0.142857143,0.272727273,0.689655172,0.368926705,0.142857143,0.689655172,0.3,0.911009578,0.953376583,0.185981208,0.03458901,56719,39073,1193162,9651,271816,9651,1193162,314084.2,56719,4.096265967,2.016361342,449246.471,2.01822E+11,0.48,0.5,0.526315789,1,0.448160535,0.590895265,0.448160535,1,0.5,4.698852927,2.150310292,0.20614078,0.042494021,0
3858,24002,9544,46856,7789,18409.8,3858,46856,9544,1.304410611,1.384590043,15770.97131,248723536.2,0.5,0.517241379,0.347826087,0.413793103,0,0.355772114,0,0.517241379,0.413793103,2.960144747,-1.686027406,0.188083693,0.035375476,528964,7246,225228,42708,10595,7246,528964,162948.2,42708,1.672265387,1.501864755,199879.3224,39951743534,0.666666667,0.583333333,0.519083969,0.4,0.8,0.593816794,0.4,0.8,0.583333333,-0.097382737,0.176148984,0.134965526,0.018215693,0
49270,289414,2494,85499,68897,99114.8,2494,289414,68897,3.645716032,1.786093689,99128.57716,9826474809,0.526315789,0.524714829,1,0.571428571,0.52238806,0.62896945,0.52238806,1,0.526315789,4.800972154,2.184564518,0.186408699,0.034748203,37209,27206,5428,2651,28794,2651,37209,20257.6,27206,-2.67030703,-0.33519034,13699.7062,187681949.8,0.416666667,0.666666667,0.210526316,0.25,0.518518519,0.412475634,0.210526316,0.666666667,0.416666667,-1.490040907,0.313647582,0.1691494,0.02861152,1
54066,21530,60830,25079,75442,47389.4,21530,75442,54066,-2.316442999,-0.117870885,20874.08728,435727519.8,0.5625,0.545454545,0.618421053,0.5,0.43902439,0.533079998,0.43902439,0.618421053,0.545454545,0.009480817,-0.296751763,0.060402823,0.003648501,230951,7959,113012,67746,12504,7959,230951,86434.4,67746,0.958081812,1.161715009,81932.61285,6712953048,0.469135802,0.333333333,0.363636364,0,0,0.2332211,0,0.469135802,0.333333333,-2.86959058,-0.35883671,0.195688789,0.038294102,1
11818,110116,7451,8747,191880,66002.4,7451,191880,11818,-0.400339426,1.124518271,74072.3651,5486715272,0.25,0.512048193,0,0,0.472477064,0.246905051,0,0.512048193,0.25,-2.93655299,0.00038498,0.220507327,0.048623481,110139,24478,16590,4598,8000,4598,110139,32761,16590,4.379823987,2.067252393,39303.24644,1544745181,0.572916667,0.395348837,0.428571429,0.5,0.583333333,0.496034053,0.395348837,0.583333333,0.5,-2.569083553,-0.146055625,0.075148583,0.00564731,0
32787,88075,9122,49450,11844,38255.6,9122,88075,32787,0.437691292,1.006904445,28925.87789,836706411.4,0.444444444,0.510067114,0.333333333,0.375,0,0.332568978,0,0.510067114,0.375,2.940765487,-1.600964137,0.176875555,0.031284962,17168,20512,36241,7458,17318,7458,36241,19739.4,17318,2.193316572,0.955040356,9340.318787,87241555.04,0.555555556,0.333333333,0.5,1,1,0.677777778,0.333333333,1,0.555555556,-2.697030832,0.272350402,0.273071238,0.074567901,0
11313,62732,526606,138965,649485,277820.2,11313,649485,138965,-2.621509694,0.600514395,259460.5503,67319777168,0.333333333,0.4,0.533333333,0.6,0.509803922,0.475294118,0.333333333,0.6,0.509803922,-1.431815456,-0.376457107,0.09584686,0.009186621,8144,146226,102936,29620,9485,8144,146226,59282.2,29620,-1.74652561,0.794212826,55569.05856,3087920270,1,0.545454545,0.5,0.642857143,0.333333333,0.604329004,0.333333333,1,0.545454545,1.940272884,1.11472409,0.221733782,0.04916587,0
74075,124039,19518,9940,33059,52126.2,9940,124039,33059,0.002059403,1.062378481,42094.48638,1771945784,0.481481481,0.592592593,0.5,0,0.428571429,0.400529101,0,0.592592593,0.481481481,3.834858829,-1.866068021,0.207145391,0.042909213,7640,6629,55009,6866,9802,6629,55009,17189.2,7640,4.928825373,2.216887485,18942.97494,358836299.8,0.555555556,0.444444444,0.489583333,0.714285714,0.5,0.54077381,0.444444444,0.714285714,0.5,2.406378139,1.497795989,0.093687989,0.008777439,0
29781,20216,59384,32952,51741,38814.8,20216,59384,32952,-1.957273027,0.340913481,14505.69518,210415192.6,0.5,1,0.494949495,0.717391304,0.5,0.64246816,0.494949495,1,0.5,1.217857652,1.42852423,0.197888152,0.039159721,802077,67044,10983,56569,38393,10983,802077,195013.2,56569,4.923052834,2.214050365,304127.0693,92493274299,0.503164557,0.52,0.5,0.485294118,0.333333333,0.468358402,0.333333333,0.52,0.5,4.496067429,-2.091155994,0.06840775,0.00467962,1
76959,15163,25493,85384,63064,53212.6,15163,85384,63064,-2.66159963,-0.391551207,27971.73165,782417771.4,0.54,0.666666667,0,0.583333333,0.5,0.458,0,0.666666667,0.54,3.996730501,-1.924332223,0.235585323,0.055500444,43491,61258,20942,1304,416844,1304,416844,108767.8,43491,4.665106622,2.141403132,155364.749,24138205235,0.461538462,0.363636364,0.586206897,1,0.449074074,0.572091159,0.363636364,1,0.461538462,3.086363382,1.719637147,0.225439009,0.050822747,0
625366,8326,103668,309,1995,147932.8,309,625366,8326,4.454112491,2.100870701,241860.505,58496503877,0.509090909,0.416666667,0.519480519,0,0,0.289047619,0,0.519480519,0.416666667,-3.222346719,-0.511396395,0.238705695,0.056980409,241694,150984,29916,203758,23227,23227,241694,129915.8,150984,-2.745648783,-0.170527566,89188.9742,7954673119,0.5,0.422413793,1,0.610810811,0.416666667,0.589978254,0.416666667,1,0.5,2.893852136,1.708512725,0.216685333,0.046952534,0
1290,19659,18962,12985,99451,30469.4,1290,99451,18962,4.362597358,2.03333872,35113.78011,1232977554,0,0,0.45,0.571428571,0.590909091,0.322467532,0,0.590909091,0.45,-3.181641526,-0.469637675,0.267685494,0.071655524,30812,30005,756551,7949,45906,7949,756551,174244.6,30812,4.965775003,2.226380161,291404.7835,84916747852,0.5,0.5,0.557093426,0.5,0.555555556,0.522529796,0.5,0.557093426,0.5,-3.325054685,0.60999773,0.027597538,0.000761624,0
